"Status of existing checking account","Credit history","Savings account/bonds","Present employment since","Installment rate in percentage of disposable income","Personal status and sex","Other debtors / guarantors","Present residence since","Property","Age in years","Other installment plans","Housing","Number of existing credits at this bank","Job","Number of people being liable to provide maintenance for","Telephone","Foreign worker","Score","ClientID"
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",3,"male (single)","none",4,"car or other",40,"none","own",1,"skilled employee / official",1,"none","Yes","good",20421
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",3,"car or other",38,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",20434
"0 - 200","delay in paying off in the past","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","Yes","bad",20447
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",3,"unknown / no property",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",20460
"0 - 200","existing credits paid back duly till now","less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none","Yes","bad",20473
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",3,"male (single)","none",4,"car or other",41,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",20486
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",1,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",20499
"Over 200","existing credits paid back duly till now","less than 100","more than 7 years",3,"male (divorced/separated)","none",4,"unknown / no property",51,"none","for free",1,"skilled employee / official",1,"none","Yes","good",20512
"No checking account","existing credits paid back duly till now","500 to 1000","more than 7 years",4,"male (single)","none",3,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20525
"No checking account","existing credits paid back duly till now","100 to 500","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","rent",1,"skilled employee / official",1,"none","Yes","good",20538
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",51,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad",20551
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","rent",2,"unskilled - resident",1,"none","Yes","good",20564
"No checking account","delay in paying off in the past","unknown / no savings account","more than 7 years",4,"male (married/widowed)","none",4,"car or other",54,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20577
"0 - 200","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"male (single)","none",2,"real estate",35,"none","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","good",20590
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",54,"none","for free",2,"skilled employee / official",2,"none","Yes","good",20603
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",3,"female (divorced/separated/married)","guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good",20616
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","own",2,"skilled employee / official",1,"none","Yes","good",20629
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"car or other",35,"none","own",2,"skilled employee / official",1,"none","Yes","good",20642
"0 - 200","existing credits paid back duly till now","unknown / no savings account","Unemployed",1,"female (divorced/separated/married)","none",2,"real estate",24,"none","rent",1,"unemployed / unskilled - non-resident",1,"none","Yes","good",20655
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",20668
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",3,"male (married/widowed)","none",3,"real estate",26,"none","own",1,"unskilled - resident",1,"none","No","good",20681
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",65,"none","own",4,"skilled employee / official",1,"none","Yes","good",20694
"0 - 200","all credits at this bank paid back duly","less than 100","Unemployed",1,"male (single)","none",2,"unknown / no property",55,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",20707
"0 - 200","no credits taken / all credits paid back duly","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",1,"real estate",26,"none","rent",2,"unemployed / unskilled - non-resident",1,"none","Yes","bad",20720
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",3,"male (married/widowed)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20733
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (married/widowed)","guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident",1,"none","Yes","good",20746
"Negative","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",24,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",20759
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (single)","none",4,"car or other",54,"none","own",1,"skilled employee / official",1,"none","Yes","bad",20772
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",4,"unknown / no property",46,"none","for free",1,"skilled employee / official",2,"none","Yes","bad",20785
"0 - 200","delay in paying off in the past","less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",54,"none","rent",1,"skilled employee / official",1,"none","Yes","good",20798
"No checking account","existing credits paid back duly till now","500 to 1000","1 to 4 years",1,"male (divorced/separated)","none",4,"real estate",62,"none","own",1,"skilled employee / official",1,"none","Yes","good",20811
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","4 to 7 years",1,"female (divorced/separated/married)","none",2,"car or other",24,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20824
"Negative","existing credits paid back duly till now","less than 100","Unemployed",2,"male (divorced/separated)","co-Applicant",3,"car or other",43,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good",20837
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",4,"male (married/widowed)","none",3,"real estate",26,"bank","own",1,"skilled employee / official",1,"none","Yes","bad",20850
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (married/widowed)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20863
"Over 200","existing credits paid back duly till now","less than 100","1 to 4 years",3,"male (married/widowed)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",20876
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",41,"bank","own",1,"skilled employee / official",2,"none","Yes","bad",20889
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",47,"none","own",2,"unskilled - resident",1,"none","Yes","good",20902
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",3,"male (divorced/separated)","none",2,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",20915
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (married/widowed)","none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",20928
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"real estate",33,"bank","rent",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",20941
"No checking account","no credits taken / all credits paid back duly","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",36,"stores","own",2,"skilled employee / official",2,"none","Yes","bad",20954
"Negative","existing credits paid back duly till now","unknown / no savings account","more than 7 years",3,"male (single)","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",1,"none","Yes","bad",20967
"0 - 200","delay in paying off in the past","unknown / no savings account","1 to 4 years",4,"male (single)","none",4,"unknown / no property",38,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",20980
"No checking account","delay in paying off in the past","500 to 1000","1 to 4 years",4,"male (single)","none",2,"car or other",44,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",20993
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21006
"Negative","no credits taken / all credits paid back duly","less than 100","more than 7 years",2,"male (single)","none",4,"car or other",29,"none","rent",2,"skilled employee / official",1,"none","Yes","bad",21019
"0 - 200","existing credits paid back duly till now","unknown / no savings account","more than 7 years",2,"female (divorced/separated/married)","none",4,"car or other",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21032
"Over 200","existing credits paid back duly till now","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"none","Yes","bad",21045
"Negative","no credits taken / all credits paid back duly","less than 100","1 to 4 years",4,"male (single)","none",4,"car or other",48,"bank","own",2,"skilled employee / official",1,"none","Yes","bad",21058
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",21,"none","own",1,"skilled employee / official",1,"none","Yes","good",21071
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"none","Yes","good",21084
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21097
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (married/widowed)","co-Applicant",3,"real estate",46,"none","own",2,"skilled employee / official",1,"none","Yes","good",21110
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"none","Yes","bad",21123
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"none","Yes","good",21136
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","own",1,"skilled employee / official",1,"none","Yes","bad",21149
"No checking account","all credits at this bank paid back duly","less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",50,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21162
"No checking account","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",21175
"0 - 200","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",2,"male (single)","none",3,"car or other",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21188
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (single)","none",4,"car or other",68,"none","rent",2,"skilled employee / official",1,"none","Yes","bad",21201
"No checking account","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (married/widowed)","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",21214
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",4,"real estate",59,"none","own",1,"skilled employee / official",1,"none","Yes","good",21227
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"none","Yes","bad",21240
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (married/widowed)","guarantor",2,"building society savings agreement/ life insurance",33,"bank","rent",2,"skilled employee / official",1,"none","No","bad",21253
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",43,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21266
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21279
"Negative","all credits at this bank paid back duly","less than 100","4 to 7 years",4,"male (single)","none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident",2,"none","Yes","bad",21292
"No checking account","delay in paying off in the past","less than 100","more than 7 years",2,"male (single)","none",2,"car or other",45,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",21305
"No checking account","existing credits paid back duly till now","100 to 500","less than 1 year",4,"male (married/widowed)","none",3,"real estate",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21318
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",40,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21331
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",2,"unknown / no property",28,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21344
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21357
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",1,"male (single)","guarantor",2,"real estate",26,"none","rent",1,"skilled employee / official",2,"none","No","good",21370
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","1 to 4 years",4,"male (single)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","Yes","good",21383
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",4,"male (married/widowed)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21396
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21409
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","less than 1 year",4,"male (single)","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes, registered under the customers name","Yes","good",21422
"No checking account","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"none","Yes","bad",21435
"No checking account","existing credits paid back duly till now","500 to 1000","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",20,"none","rent",1,"skilled employee / official",1,"none","Yes","good",21448
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",1,"car or other",27,"stores","own",1,"skilled employee / official",1,"none","Yes","good",21461
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",42,"stores","own",1,"skilled employee / official",1,"none","Yes","good",21474
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",37,"none","own",2,"skilled employee / official",1,"none","Yes","good",21487
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","Yes","good",21500
"No checking account","delay in paying off in the past","500 to 1000","4 to 7 years",2,"female (divorced/separated/married)","none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21513
"Over 200","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",1,"male (single)","none",4,"real estate",46,"none","own",2,"skilled employee / official",2,"none","No","good",21526
"Negative","critical account/ other credits existing (not at this bank)","100 to 500","4 to 7 years",4,"male (single)","none",1,"real estate",26,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21539
"No checking account","existing credits paid back duly till now","unknown / no savings account","less than 1 year",4,"female (divorced/separated/married)","none",1,"real estate",24,"none","own",1,"skilled employee / official",1,"none","Yes","good",21552
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","co-Applicant",2,"building society savings agreement/ life insurance",29,"none","own",1,"unskilled - resident",2,"none","Yes","good",21565
"0 - 200","critical account/ other credits existing (not at this bank)","more than 1000","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",40,"none","own",2,"skilled employee / official",1,"none","Yes","good",21578
"Negative","all credits at this bank paid back duly","less than 100","less than 1 year",3,"male (single)","co-Applicant",4,"unknown / no property",36,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",21591
"No checking account","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",2,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good",21604
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",3,"male (single)","none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",21617
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",36,"none","own",2,"skilled employee / official",1,"none","Yes","good",21630
"No checking account","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",3,"car or other",38,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",21643
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (divorced/separated)","none",4,"unknown / no property",48,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21656
"0 - 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","Yes","good",21669
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","Unemployed",4,"female (divorced/separated/married)","none",4,"car or other",65,"none","own",2,"unemployed / unskilled - non-resident",1,"none","Yes","good",21682
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (divorced/separated)","none",3,"car or other",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21695
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none","Yes","bad",21708
"0 - 200","critical account/ other credits existing (not at this bank)","unknown / no savings account","4 to 7 years",4,"male (single)","none",3,"unknown / no property",34,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",21721
"0 - 200","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21734
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",34,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",21747
"No checking account","all credits at this bank paid back duly","unknown / no savings account","less than 1 year",3,"male (single)","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",21760
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",43,"stores","own",4,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",21773
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",4,"male (single)","none",4,"car or other",46,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21786
"Negative","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",38,"bank","own",2,"unskilled - resident",1,"none","No","good",21799
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",3,"male (single)","none",4,"car or other",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21812
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","1 to 4 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",29,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21825
"No checking account","delay in paying off in the past","unknown / no savings account","4 to 7 years",3,"male (single)","none",2,"car or other",31,"stores","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",21838
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",28,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",21851
"No checking account","critical account/ other credits existing (not at this bank)","more than 1000","4 to 7 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",35,"none","own",1,"skilled employee / official",1,"none","No","good",21864
"No checking account","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",1,"female (divorced/separated/married)","none",4,"real estate",33,"bank","rent",1,"unskilled - resident",1,"none","Yes","good",21877
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","co-Applicant",3,"car or other",42,"none","own",1,"skilled employee / official",1,"none","Yes","bad",21890
"Negative","critical account/ other credits existing (not at this bank)","less than 100","more than 7 years",2,"male (single)","guarantor",4,"building society savings agreement/ life insurance",43,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",21903
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","less than 1 year",2,"male (divorced/separated)","none",4,"real estate",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21916
"No checking account","critical account/ other credits existing (not at this bank)","unknown / no savings account","more than 7 years",2,"male (single)","none",4,"unknown / no property",42,"none","for free",2,"skilled employee / official",1,"none","Yes","good",21929
"No checking account","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",4,"male (married/widowed)","none",2,"real estate",40,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",21942
"No checking account","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",1,"real estate",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",21955
"Negative","existing credits paid back duly till now","less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",20,"none","rent",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good",21968
"Negative","existing credits paid back duly till now","unknown / no savings account","4 to 7 years",2,"male (single)","co-Applicant",2,"real estate",24,"none","own",1,"unskilled - resident",1,"none","No","good",21981
"0 - 200","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",2,"male (married/widowed)","none",2,"car or other",27,"none","own",1,"skilled employee / official",1,"none","Yes","good",21994
"No checking account","delay in paying off in the past","less than 100","less than 1 year",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",46,"none","own",2,"unskilled - resident",1,"none","Yes","good",22007
"0 - 200","existing credits paid back duly till now","unknown / no savings account","1 to 4 years",1,"female (divorced/separated/married)","none",2,"real estate",33,"none","own",1,"unskilled - resident",1,"none","Yes","good",22020
"No checking account","delay in paying off in the past","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",34,"none","own",2,"skilled employee / official",1,"none","Yes","good",22033
"0 - 200","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"car or other",25,"bank","own",1,"unskilled - resident",1,"none","Yes","bad",22046
"0 - 200","existing credits paid back duly till now","unknown / no savings account","more than 7 years",2,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"skilled employee / official",1,"none","Yes","good",22059
"No checking account","existing credits paid back duly till now","more than 1000","more than 7 years",1,"male (divorced/separated)","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",22072
"Negative","all credits at this bank paid back duly","less than 100","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",31,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",22085
"0 - 200","no credits taken / all credits paid back duly","less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",32,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","No","bad",22098
"No checking account","existing credits paid back duly till now","100 to 500","1 to 4 years",1,"male (single)","co-Applicant",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","Yes","good",22111
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",1,"male (single)","none",4,"unknown / no property",68,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",22124
"Negative","existing credits paid back duly till now","100 to 500","Unemployed",1,"male (divorced/separated)","none",1,"building society savings agreement/ life insurance",33,"none","own",1,"skilled employee / official",1,"none","Yes","bad",22137
"Negative","existing credits paid back duly till now","less than 100","more than 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",39,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad",22150
"No checking account","critical account/ other credits existing (not at this bank)","less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",2,"unknown / no property",28,"none","own",2,"skilled employee / official",1,"none","Yes","good",22163
"No checking account","delay in paying off in the past","500 to 1000","4 to 7 years",4,"male (single)","none",1,"car or other",37,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good",22176
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","rent",1,"skilled employee / official",1,"none","Yes","bad",22189
"0 - 200","existing credits paid back duly till now","less than 100","4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",30,"none","rent",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good",22202
"Negative","all credits at this bank paid back duly","less than 100","less than 1 year",2,"male (divorced/separated)","none",1,"building society savings agreement/ life insurance",55,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",22215
"Negative","all credits at this bank paid back duly","less than 100","less than 1 year",4,"male (single)","none",2,"car or other",46,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",22228
"Negative","critical account/ other credits existing (not at this bank)","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","Yes","good",22241
"Negative","existing credits paid back duly till now","less than 100","4 to 7 years",4,"male (single)","none",4,"unknown / no property",39,"stores","for free",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad",22254
"No checking account","existing credits paid back duly till now","unknown / no savings account","more than 7 years",4,"male (single)","none",4,"car or other",58,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good",22267
"Negative","delay in paying off in the past","less than 100","1 to 4 years",4,"male (single)","none",2,"real estate",43,"none","own",2,"unskilled - resident",2,"none","Yes","good",22280
"Negative","existing credits paid back duly till now","less than 100","less than 1 year",4,"male (single)","co-Applicant",1,"building society savings agreement/ life insurance",24,"none","own",1,"unskilled - resident",1,"none","No","good",22293
"0 - 200","existing credits paid back duly till now","less than 100","less than 1 year",4,"female (divorced/separated/married)","none",2,"car or other",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad",22306
